,0,1
0,ANDHRA PRADESH,1
1,ARUNACHAL PRADESH,2
2,ASSAM,0
3,BIHAR,0
4,CHHATTISGARH,1
5,GOA,1
6,GUJARAT,1
7,HARYANA,1
8,HIMACHAL PRADESH,1
9,JAMMU & KASHMIR,0
10,JHARKHAND,0
11,KARNATAKA,1
12,KERALA,1
13,MADHYA PRADESH,1
14,MAHARASHTRA,1
15,MANIPUR,2
16,MEGHALAYA,2
17,MIZORAM,1
18,NAGALAND,2
19,ODISHA,1
20,PUNJAB,1
21,RAJASTHAN,1
22,SIKKIM,1
23,TAMIL NADU,1
24,TRIPURA,0
25,UTTAR PRADESH,0
26,UTTARAKHAND,0
27,WEST BENGAL,0
28,A & N ISLANDS,1
29,CHANDIGARH,1
30,D & N HAVELI,1
31,DAMAN & DIU,1
32,LAKSHADWEEP,1
33,PUDUCHERRY,1
