,0,1,
0,ANDHRA PRADESH,1,Safe
1,ARUNACHAL PRADESH,0,Moderate
2,ASSAM,0,Moderate
3,BIHAR,0,Moderate
4,CHHATTISGARH,1,Safe
5,GOA,2,Dangerous
6,GUJARAT,1,Safe
7,HARYANA,1,Safe
8,HIMACHAL PRADESH,1,Safe
9,JAMMU & KASHMIR,1,Safe
10,JHARKHAND,0,Moderate
11,KARNATAKA,1,Safe
12,KERALA,1,Safe
13,MADHYA PRADESH,1,Safe
14,MAHARASHTRA,1,Safe
15,MANIPUR,0,Moderate
16,MEGHALAYA,2,Dangerous
17,MIZORAM,0,Moderate
18,NAGALAND,2,Dangerous
19,ODISHA,0,Moderate
20,PUNJAB,0,Moderate
21,RAJASTHAN,1,Safe
22,SIKKIM,0,Moderate
23,TAMIL NADU,1,Safe
24,TRIPURA,0,Moderate
25,UTTAR PRADESH,0,Moderate
26,UTTARAKHAND,0,Moderate
27,WEST BENGAL,0,Moderate
28,A & N ISLANDS,1,Safe
29,CHANDIGARH,1,Safe
30,D & N HAVELI,2,Dangerous
31,DAMAN & DIU,2,Dangerous
32,LAKSHADWEEP,1,Safe
33,PUDUCHERRY,1,Safe
