,0,1,
0,ANDHRA PRADESH,2,Safe
1,ARUNACHAL PRADESH,0,Moderate
2,ASSAM,0,Moderate
3,BIHAR,0,Moderate
4,CHHATTISGARH,2,Safe
5,GOA,2,Safe
6,GUJARAT,2,Safe
7,HARYANA,0,Moderate
8,HIMACHAL PRADESH,2,Safe
9,JAMMU & KASHMIR,1,Dangerous
10,JHARKHAND,0,Moderate
11,KARNATAKA,2,Safe
12,KERALA,2,Safe
13,MADHYA PRADESH,2,Safe
14,MAHARASHTRA,2,Safe
15,MANIPUR,1,Dangerous
16,MEGHALAYA,1,Dangerous
17,MIZORAM,2,Safe
18,NAGALAND,1,Dangerous
19,ODISHA,0,Moderate
20,PUNJAB,0,Moderate
21,RAJASTHAN,2,Safe
22,SIKKIM,0,Moderate
23,TAMIL NADU,2,Safe
24,TRIPURA,1,Dangerous
25,UTTAR PRADESH,0,Moderate
26,UTTARAKHAND,0,Moderate
27,WEST BENGAL,0,Moderate
28,A & N ISLANDS,2,Safe
29,CHANDIGARH,2,Safe
30,D & N HAVELI,2,Safe
31,DAMAN & DIU,2,Safe
32,LAKSHADWEEP,2,Safe
33,PUDUCHERRY,2,Safe
